Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,3.58%,3.44%,3.73%,2.53%,2.31%,2.78%,5.33%,5.03%,5.65%,3.43%,3.26%,3.61%,3.69%,3.53%,3.85%
2,Northeast,3.10%,2.82%,3.40%,1.90%,1.57%,2.31%,4.67%,4.15%,5.26%,2.98%,2.66%,3.34%,3.21%,2.91%,3.53%
3,Midwest,3.62%,3.38%,3.86%,2.58%,2.28%,2.92%,5.47%,5.03%,5.95%,3.44%,3.16%,3.74%,3.72%,3.47%,3.99%
4,South,3.67%,3.46%,3.89%,2.73%,2.43%,3.07%,5.42%,5.03%,5.84%,3.51%,3.26%,3.77%,3.76%,3.54%,4.00%
5,West,3.78%,3.51%,4.06%,2.59%,2.21%,3.03%,5.53%,5.00%,6.11%,3.64%,3.32%,3.98%,3.90%,3.61%,4.20%
6,Alabama,4.55%,3.65%,5.65%,4.08%,2.81%,5.90%,6.42%,4.97%,8.27%,4.31%,3.28%,5.63%,4.59%,3.66%,5.75%
7,Alaska,3.99%,3.22%,4.92%,2.06%,1.39%,3.04%,5.20%,3.99%,6.77%,4.04%,3.12%,5.21%,4.20%,3.37%,5.21%
8,Arizona,3.80%,3.08%,4.68%,2.49%,1.70%,3.64%,5.93%,4.64%,7.54%,3.61%,2.77%,4.69%,3.93%,3.17%,4.87%
9,Arkansas,3.66%,2.99%,4.48%,3.28%,2.31%,4.66%,6.66%,5.23%,8.45%,3.23%,2.46%,4.23%,3.70%,2.99%,4.58%
10,California,3.60%,3.20%,4.05%,2.67%,2.10%,3.38%,5.36%,4.58%,6.27%,3.43%,2.96%,3.98%,3.70%,3.27%,4.18%
11,Colorado,3.94%,3.21%,4.84%,2.17%,1.45%,3.23%,5.80%,4.56%,7.35%,3.86%,2.99%,4.96%,4.12%,3.34%,5.08%
12,Connecticut,3.31%,2.63%,4.16%,2.12%,1.44%,3.12%,4.85%,3.75%,6.24%,3.20%,2.40%,4.26%,3.43%,2.71%,4.34%
13,Delaware,3.45%,2.79%,4.26%,2.40%,1.66%,3.47%,5.43%,4.17%,7.03%,3.28%,2.52%,4.27%,3.55%,2.85%,4.41%
14,District of Columbia,4.16%,3.39%,5.10%,2.50%,1.61%,3.85%,4.36%,3.19%,5.95%,4.24%,3.32%,5.39%,4.26%,3.45%,5.24%
15,Florida,3.69%,3.18%,4.28%,2.40%,1.84%,3.12%,5.04%,4.25%,5.98%,3.64%,3.04%,4.35%,3.80%,3.25%,4.43%
16,Georgia,3.52%,2.95%,4.18%,2.60%,1.90%,3.55%,5.21%,4.18%,6.47%,3.36%,2.69%,4.18%,3.62%,3.01%,4.34%
17,Hawaii,3.41%,2.69%,4.32%,1.85%,1.20%,2.85%,4.95%,3.80%,6.42%,3.37%,2.53%,4.48%,3.55%,2.78%,4.53%
18,Idaho,4.10%,3.33%,5.04%,2.76%,1.94%,3.90%,5.43%,4.17%,7.03%,4.07%,3.14%,5.25%,4.26%,3.42%,5.29%
19,Illinois,2.84%,2.39%,3.38%,2.16%,1.57%,2.96%,4.57%,3.68%,5.67%,2.66%,2.13%,3.31%,2.91%,2.43%,3.49%
20,Indiana,3.80%,3.13%,4.60%,3.06%,2.20%,4.25%,5.57%,4.41%,7.02%,3.58%,2.79%,4.59%,3.87%,3.16%,4.74%
21,Iowa,4.14%,3.35%,5.12%,3.56%,2.52%,5.00%,5.69%,4.44%,7.28%,3.94%,3.01%,5.15%,4.20%,3.37%,5.24%
22,Kansas,3.75%,3.04%,4.63%,2.55%,1.77%,3.67%,6.30%,4.94%,8.01%,3.46%,2.62%,4.56%,3.89%,3.12%,4.83%
23,Kentucky,4.14%,3.39%,5.05%,2.73%,1.88%,3.95%,5.19%,4.00%,6.70%,4.14%,3.24%,5.27%,4.28%,3.48%,5.26%
24,Louisiana,3.85%,3.12%,4.73%,2.52%,1.74%,3.65%,4.97%,3.83%,6.43%,3.83%,2.97%,4.93%,3.98%,3.21%,4.94%
25,Maine,3.27%,2.59%,4.11%,2.02%,1.36%,3.00%,5.47%,4.22%,7.06%,3.10%,2.34%,4.10%,3.37%,2.66%,4.26%
26,Maryland,3.45%,2.78%,4.26%,2.18%,1.51%,3.14%,4.88%,3.77%,6.28%,3.38%,2.60%,4.37%,3.57%,2.86%,4.44%
27,Massachusetts,3.24%,2.59%,4.04%,1.88%,1.25%,2.80%,4.27%,3.20%,5.67%,3.20%,2.44%,4.19%,3.36%,2.67%,4.21%
28,Michigan,3.76%,3.22%,4.38%,2.60%,1.95%,3.45%,6.05%,5.04%,7.24%,3.52%,2.89%,4.28%,3.87%,3.30%,4.54%
29,Minnesota,3.60%,2.92%,4.43%,2.28%,1.57%,3.29%,5.56%,4.34%,7.08%,3.45%,2.65%,4.49%,3.73%,3.00%,4.63%
30,Mississippi,3.93%,3.19%,4.83%,3.26%,2.28%,4.66%,5.69%,4.46%,7.24%,3.72%,2.85%,4.84%,4.00%,3.22%,4.96%
31,Missouri,3.70%,3.04%,4.51%,2.74%,1.92%,3.90%,5.95%,4.64%,7.59%,3.46%,2.68%,4.47%,3.80%,3.09%,4.67%
32,Montana,4.27%,3.44%,5.28%,2.69%,1.90%,3.81%,6.49%,5.09%,8.25%,4.09%,3.13%,5.33%,4.41%,3.53%,5.50%
33,Nebraska,3.31%,2.66%,4.11%,2.93%,2.02%,4.22%,5.65%,4.40%,7.22%,2.95%,2.19%,3.95%,3.35%,2.66%,4.20%
34,Nevada,3.87%,3.12%,4.78%,2.90%,2.03%,4.12%,6.28%,4.87%,8.06%,3.64%,2.78%,4.76%,3.96%,3.18%,4.94%
35,New Hampshire,3.38%,2.67%,4.26%,1.94%,1.29%,2.89%,4.77%,3.62%,6.26%,3.31%,2.50%,4.38%,3.50%,2.76%,4.44%
36,New Jersey,2.99%,2.44%,3.64%,1.89%,1.30%,2.74%,4.41%,3.45%,5.63%,2.90%,2.27%,3.70%,3.09%,2.51%,3.80%
37,New Mexico,3.71%,3.01%,4.56%,2.94%,2.06%,4.18%,5.74%,4.48%,7.33%,3.48%,2.67%,4.52%,3.79%,3.05%,4.70%
38,New York,2.95%,2.52%,3.46%,1.85%,1.36%,2.50%,4.61%,3.79%,5.60%,2.81%,2.30%,3.43%,3.05%,2.59%,3.59%
39,North Carolina,3.56%,2.96%,4.28%,2.66%,1.93%,3.66%,5.30%,4.29%,6.52%,3.39%,2.69%,4.27%,3.65%,3.01%,4.42%
40,North Dakota,3.71%,3.02%,4.56%,2.20%,1.47%,3.28%,5.13%,3.99%,6.56%,3.62%,2.79%,4.67%,3.86%,3.13%,4.76%
41,Ohio,3.95%,3.39%,4.60%,2.51%,1.90%,3.32%,5.53%,4.61%,6.62%,3.87%,3.21%,4.66%,4.10%,3.49%,4.80%
42,Oklahoma,3.89%,3.15%,4.78%,2.87%,1.99%,4.12%,6.87%,5.42%,8.68%,3.52%,2.66%,4.64%,4.00%,3.22%,4.95%
43,Oregon,4.56%,3.71%,5.58%,3.08%,2.13%,4.44%,6.39%,4.96%,8.20%,4.44%,3.46%,5.69%,4.69%,3.79%,5.78%
44,Pennsylvania,3.17%,2.68%,3.74%,1.91%,1.38%,2.65%,4.99%,4.07%,6.10%,3.03%,2.46%,3.73%,3.29%,2.77%,3.90%
45,Rhode Island,3.33%,2.68%,4.13%,1.87%,1.24%,2.82%,4.91%,3.76%,6.39%,3.21%,2.46%,4.18%,3.46%,2.77%,4.31%
46,South Carolina,3.68%,2.99%,4.51%,3.38%,2.33%,4.88%,5.85%,4.55%,7.50%,3.39%,2.60%,4.40%,3.70%,2.98%,4.59%
47,South Dakota,3.32%,2.65%,4.16%,2.68%,1.85%,3.88%,5.24%,4.07%,6.73%,3.08%,2.29%,4.14%,3.39%,2.67%,4.29%
48,Tennessee,3.54%,2.86%,4.37%,2.35%,1.62%,3.39%,5.20%,4.02%,6.70%,3.42%,2.63%,4.44%,3.66%,2.93%,4.55%
49,Texas,3.62%,3.16%,4.14%,2.92%,2.29%,3.73%,5.34%,4.51%,6.32%,3.42%,2.87%,4.06%,3.70%,3.21%,4.27%
50,Utah,3.68%,3.06%,4.43%,2.05%,1.39%,3.00%,5.07%,3.88%,6.61%,3.66%,2.88%,4.63%,3.91%,3.23%,4.74%
51,Vermont,3.52%,2.82%,4.38%,2.35%,1.65%,3.34%,5.44%,4.27%,6.89%,3.30%,2.49%,4.37%,3.61%,2.88%,4.53%
52,Virginia,3.39%,2.84%,4.04%,2.30%,1.66%,3.20%,5.94%,4.75%,7.39%,3.11%,2.47%,3.91%,3.49%,2.91%,4.20%
53,Washington,4.03%,3.27%,4.97%,2.50%,1.71%,3.64%,5.15%,4.00%,6.62%,4.03%,3.13%,5.19%,4.18%,3.36%,5.17%
54,West Virginia,3.22%,2.57%,4.04%,2.41%,1.64%,3.52%,5.42%,4.22%,6.94%,2.99%,2.25%,3.98%,3.29%,2.61%,4.16%
55,Wisconsin,3.87%,3.12%,4.79%,2.57%,1.81%,3.63%,5.08%,3.97%,6.48%,3.83%,2.93%,4.99%,4.00%,3.20%,4.99%
56,Wyoming,3.44%,2.75%,4.29%,2.99%,2.03%,4.37%,6.54%,5.09%,8.35%,3.02%,2.24%,4.07%,3.49%,2.76%,4.39%
