Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,16.91%,16.58%,17.25%,2.50%,2.28%,2.73%,18.34%,17.79%,18.91%,18.35%,17.94%,18.77%,18.35%,17.98%,18.72%
2,Northeast,15.43%,14.78%,16.10%,2.14%,1.85%,2.47%,17.65%,16.56%,18.79%,16.48%,15.68%,17.30%,16.63%,15.93%,17.36%
3,Midwest,18.96%,18.34%,19.60%,2.94%,2.62%,3.30%,20.37%,19.39%,21.39%,20.63%,19.85%,21.43%,20.59%,19.91%,21.29%
4,South,18.43%,17.91%,18.96%,2.79%,2.49%,3.13%,19.21%,18.38%,20.07%,20.15%,19.49%,20.83%,20.02%,19.46%,20.60%
5,West,13.79%,13.20%,14.39%,1.87%,1.59%,2.21%,15.69%,14.70%,16.73%,14.88%,14.16%,15.63%,14.99%,14.35%,15.65%
6,Alabama,22.72%,20.56%,25.04%,3.58%,2.62%,4.86%,21.91%,18.58%,25.65%,25.05%,22.47%,27.82%,24.62%,22.27%,27.15%
7,Alaska,17.47%,15.72%,19.36%,3.85%,2.78%,5.33%,19.55%,16.47%,23.04%,18.86%,16.78%,21.13%,18.95%,17.04%,21.02%
8,Arizona,15.63%,13.75%,17.71%,1.81%,1.21%,2.69%,17.49%,14.63%,20.78%,16.98%,14.76%,19.46%,17.05%,15.00%,19.32%
9,Arkansas,22.55%,20.47%,24.78%,3.56%,2.58%,4.88%,22.42%,19.08%,26.17%,24.89%,22.37%,27.59%,24.55%,22.27%,26.97%
10,California,11.43%,10.62%,12.30%,1.23%,0.91%,1.66%,13.24%,11.84%,14.78%,12.33%,11.32%,13.41%,12.46%,11.56%,13.40%
11,Colorado,16.32%,14.54%,18.27%,3.01%,2.07%,4.35%,19.28%,16.22%,22.75%,17.38%,15.27%,19.72%,17.64%,15.71%,19.75%
12,Connecticut,13.90%,12.08%,15.95%,1.53%,1.01%,2.33%,15.82%,13.03%,19.09%,14.98%,12.81%,17.44%,15.10%,13.12%,17.31%
13,Delaware,17.46%,15.45%,19.68%,1.93%,1.31%,2.83%,17.84%,14.74%,21.42%,19.03%,16.66%,21.66%,18.89%,16.71%,21.29%
14,District of Columbia,16.28%,14.40%,18.35%,1.70%,1.15%,2.51%,16.60%,13.46%,20.30%,17.19%,15.04%,19.58%,17.10%,15.12%,19.27%
15,Florida,15.48%,14.34%,16.68%,2.10%,1.59%,2.76%,14.09%,12.47%,15.88%,16.94%,15.57%,18.41%,16.62%,15.39%,17.92%
16,Georgia,16.40%,14.90%,18.01%,2.21%,1.60%,3.03%,15.17%,12.84%,17.85%,18.43%,16.61%,20.39%,17.97%,16.33%,19.73%
17,Hawaii,14.10%,12.36%,16.05%,1.52%,0.98%,2.37%,15.27%,12.56%,18.45%,15.22%,13.16%,17.54%,15.23%,13.34%,17.34%
18,Idaho,15.62%,13.85%,17.57%,2.87%,2.06%,3.99%,17.44%,14.47%,20.88%,17.10%,14.96%,19.48%,17.15%,15.20%,19.29%
19,Illinois,16.26%,14.97%,17.64%,1.88%,1.40%,2.52%,16.16%,14.17%,18.38%,17.97%,16.39%,19.66%,17.73%,16.32%,19.23%
20,Indiana,22.45%,20.46%,24.57%,3.38%,2.46%,4.65%,25.12%,21.58%,29.03%,24.37%,21.98%,26.93%,24.48%,22.30%,26.79%
21,Iowa,20.61%,18.50%,22.90%,3.87%,2.78%,5.36%,20.38%,17.07%,24.14%,22.68%,20.13%,25.45%,22.34%,20.04%,24.81%
22,Kansas,18.27%,16.32%,20.41%,2.32%,1.64%,3.27%,16.92%,13.92%,20.42%,20.59%,18.20%,23.19%,20.04%,17.89%,22.37%
23,Kentucky,25.08%,22.97%,27.30%,4.67%,3.38%,6.43%,25.93%,22.42%,29.78%,27.31%,24.77%,30.01%,27.12%,24.84%,29.54%
24,Louisiana,22.07%,20.03%,24.24%,3.35%,2.42%,4.62%,22.05%,18.82%,25.65%,24.32%,21.88%,26.94%,24.01%,21.80%,26.38%
25,Maine,17.24%,15.31%,19.37%,3.99%,2.86%,5.54%,21.06%,17.78%,24.75%,17.99%,15.77%,20.43%,18.34%,16.27%,20.60%
26,Maryland,14.85%,13.19%,16.68%,1.86%,1.29%,2.69%,16.07%,13.22%,19.41%,16.12%,14.18%,18.27%,16.12%,14.31%,18.10%
