Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,24.21%,23.85%,24.58%,4.78%,4.48%,5.09%,34.58%,33.84%,35.32%,24.82%,24.39%,25.26%,26.15%,25.75%,26.55%
2,Northeast,25.17%,24.41%,25.94%,5.04%,4.55%,5.58%,39.69%,38.05%,41.36%,25.05%,24.13%,26.00%,27.00%,26.17%,27.84%
3,Midwest,26.44%,25.74%,27.16%,5.01%,4.58%,5.47%,37.74%,36.35%,39.16%,27.15%,26.29%,28.03%,28.61%,27.84%,29.40%
4,South,23.15%,22.60%,23.71%,4.57%,4.17%,5.00%,31.45%,30.19%,32.73%,24.05%,23.38%,24.74%,25.05%,24.44%,25.66%
5,West,23.24%,22.54%,23.96%,4.74%,4.26%,5.27%,33.03%,31.52%,34.58%,23.85%,23.00%,24.73%,25.11%,24.34%,25.90%
6,Alabama,23.79%,21.48%,26.26%,4.32%,3.31%,5.63%,27.97%,24.45%,31.78%,25.37%,22.58%,28.38%,25.73%,23.19%,28.43%
7,Alaska,24.84%,22.66%,27.17%,4.61%,3.57%,5.94%,33.68%,29.87%,37.72%,26.01%,23.39%,28.82%,27.05%,24.62%,29.62%
8,Arizona,21.35%,19.21%,23.65%,4.25%,3.25%,5.54%,29.08%,25.50%,32.94%,22.14%,19.59%,24.91%,23.10%,20.76%,25.63%
9,Arkansas,21.14%,19.05%,23.40%,4.66%,3.63%,5.96%,29.61%,25.97%,33.52%,21.79%,19.30%,24.51%,22.87%,20.56%,25.36%
10,California,23.37%,22.28%,24.50%,4.74%,4.02%,5.59%,34.01%,31.83%,36.27%,23.83%,22.50%,25.20%,25.24%,24.04%,26.48%
11,Colorado,28.91%,26.51%,31.43%,5.48%,4.22%,7.09%,40.26%,36.33%,44.32%,29.83%,26.94%,32.90%,31.24%,28.61%,33.99%
12,Connecticut,28.07%,25.59%,30.69%,5.42%,4.16%,7.03%,47.60%,43.25%,51.99%,27.49%,24.53%,30.66%,30.25%,27.53%,33.11%
13,Delaware,24.17%,21.78%,26.74%,4.50%,3.46%,5.83%,34.86%,30.89%,39.06%,24.73%,21.91%,27.79%,25.98%,23.37%,28.78%
14,District of Columbia,34.80%,32.09%,37.61%,4.32%,3.27%,5.69%,50.26%,45.41%,55.12%,34.05%,30.90%,37.35%,36.52%,33.66%,39.47%
15,Florida,22.34%,20.96%,23.79%,4.19%,3.47%,5.05%,29.94%,27.68%,32.30%,23.09%,21.45%,24.82%,23.89%,22.39%,25.46%
