Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,50.92%,50.41%,51.44%,9.19%,8.79%,9.62%,54.72%,53.89%,55.54%,55.15%,54.55%,55.75%,55.09%,54.53%,55.64%
2,Northeast,53.97%,53.00%,54.94%,9.80%,9.07%,10.58%,58.93%,57.10%,60.75%,57.84%,56.69%,58.97%,57.98%,56.93%,59.03%
3,Midwest,54.07%,53.26%,54.87%,9.62%,9.01%,10.27%,59.29%,57.75%,60.82%,58.47%,57.52%,59.41%,58.58%,57.69%,59.46%
4,South,48.03%,47.37%,48.70%,8.89%,8.34%,9.48%,51.11%,49.64%,52.57%,52.18%,51.41%,52.95%,52.03%,51.30%,52.76%
5,West,50.55%,49.66%,51.43%,8.90%,8.24%,9.61%,53.30%,51.57%,55.02%,54.99%,53.94%,56.03%,54.76%,53.78%,55.72%
6,Alabama,43.85%,41.09%,46.65%,8.22%,6.65%,10.13%,45.83%,41.67%,50.05%,47.64%,44.31%,50.98%,47.39%,44.38%,50.43%
7,Alaska,51.83%,49.11%,54.54%,8.73%,7.13%,10.65%,53.48%,49.19%,57.72%,57.00%,53.73%,60.21%,56.53%,53.53%,59.47%
8,Arizona,48.97%,46.09%,51.87%,7.91%,6.32%,9.86%,49.04%,44.63%,53.46%,53.86%,50.40%,57.29%,53.19%,50.02%,56.33%
9,Arkansas,41.24%,38.62%,43.91%,8.41%,6.85%,10.27%,48.66%,44.31%,53.03%,44.05%,40.89%,47.26%,44.69%,41.81%,47.60%
10,California,49.76%,48.41%,51.10%,8.87%,7.83%,10.03%,54.50%,52.06%,56.91%,53.75%,52.14%,55.36%,53.86%,52.38%,55.32%
11,Colorado,60.03%,57.26%,62.74%,10.69%,8.81%,12.91%,62.49%,58.46%,66.35%,65.30%,61.96%,68.50%,64.92%,61.89%,67.84%
12,Connecticut,60.03%,57.09%,62.90%,11.24%,9.18%,13.70%,65.61%,61.24%,69.72%,64.59%,61.05%,67.97%,64.73%,61.52%,67.80%
13,Delaware,56.44%,53.52%,59.32%,10.09%,8.33%,12.17%,59.09%,54.75%,63.29%,60.93%,57.46%,64.30%,60.71%,57.52%,63.81%
14,District of Columbia,65.97%,63.19%,68.64%,9.26%,7.51%,11.37%,70.56%,66.13%,74.64%,68.93%,65.66%,72.02%,69.17%,66.23%,71.96%
15,Florida,50.84%,49.17%,52.50%,9.10%,7.91%,10.44%,49.56%,47.09%,52.03%,55.03%,53.04%,57.01%,54.40%,52.60%,56.20%
16,Georgia,47.24%,45.02%,49.47%,7.26%,6.03%,8.73%,46.80%,43.12%,50.51%,52.45%,49.74%,55.14%,51.65%,49.20%,54.09%
17,Hawaii,46.13%,43.39%,48.89%,5.97%,4.66%,7.60%,50.13%,45.99%,54.26%,49.69%,46.44%,52.94%,49.75%,46.77%,52.73%
18,Idaho,46.40%,43.60%,49.21%,7.94%,6.40%,9.81%,49.48%,45.33%,53.63%,51.24%,47.83%,54.64%,50.99%,47.89%,54.08%
19,Illinois,55.35%,53.46%,57.22%,8.55%,7.25%,10.07%,56.07%,52.94%,59.15%,60.74%,58.43%,62.99%,60.11%,58.03%,62.14%
20,Indiana,49.51%,46.75%,52.27%,9.16%,7.53%,11.10%,55.79%,51.70%,59.81%,53.47%,50.11%,56.79%,53.80%,50.76%,56.81%
21,Iowa,57.80%,54.83%,60.71%,11.38%,9.37%,13.74%,63.95%,59.50%,68.17%,62.35%,58.79%,65.78%,62.58%,59.33%,65.72%
22,Kansas,52.43%,49.66%,55.18%,10.30%,8.48%,12.46%,58.66%,54.41%,62.78%,56.81%,53.37%,60.18%,57.08%,54.02%,60.08%
23,Kentucky,43.28%,40.64%,45.97%,9.62%,7.83%,11.76%,48.20%,44.18%,52.24%,46.42%,43.24%,49.64%,46.66%,43.78%,49.57%
24,Louisiana,48.03%,45.16%,50.92%,9.93%,8.15%,12.05%,52.53%,48.35%,56.67%,51.92%,48.43%,55.38%,52.00%,48.84%,55.15%
25,Maine,55.77%,52.82%,58.68%,10.36%,8.53%,12.52%,60.07%,55.79%,64.20%,59.44%,55.97%,62.83%,59.52%,56.34%,62.63%
26,Maryland,55.22%,52.42%,57.99%,9.06%,7.41%,11.04%,57.44%,53.01%,61.75%,60.07%,56.71%,63.34%,59.74%,56.66%,62.73%
27,Massachusetts,60.42%,57.69%,63.09%,10.83%,8.94%,13.07%,64.06%,59.80%,68.12%,64.88%,61.64%,67.99%,64.76%,61.80%,67.60%
28,Michigan,53.57%,51.77%,55.36%,9.11%,7.78%,10.64%,61.04%,58.15%,63.86%,57.39%,55.20%,59.56%,57.90%,55.93%,59.85%
29,Minnesota,59.99%,57.28%,62.65%,11.03%,9.06%,13.37%,65.24%,60.85%,69.38%,64.99%,61.72%,68.11%,65.02%,62.05%,67.87%
30,Mississippi,38.75%,36.13%,41.43%,8.05%,6.54%,9.87%,41.68%,37.77%,45.71%,42.18%,38.97%,45.45%,42.10%,39.22%,45.04%
31,Missouri,49.51%,46.71%,52.31%,9.19%,7.52%,11.18%,53.95%,49.93%,57.92%,53.48%,50.09%,56.85%,53.55%,50.47%,56.60%
32,Montana,57.64%,54.81%,60.42%,11.64%,9.68%,13.94%,62.94%,58.74%,66.95%,61.76%,58.37%,65.05%,61.92%,58.83%,64.91%
33,Nebraska,55.40%,52.59%,58.18%,9.97%,8.20%,12.07%,60.76%,56.62%,64.74%,60.36%,56.92%,63.70%,60.41%,57.30%,63.44%
34,Nevada,52.10%,49.16%,55.04%,9.28%,7.56%,11.34%,53.71%,49.23%,58.14%,56.73%,53.21%,60.17%,56.37%,53.15%,59.53%
35,New Hampshire,62.54%,59.61%,65.38%,10.86%,8.92%,13.17%,68.89%,64.53%,72.94%,66.75%,63.29%,70.04%,67.03%,63.86%,70.06%
36,New Jersey,52.83%,50.48%,55.17%,9.40%,7.82%,11.27%,58.64%,54.80%,62.38%,56.89%,54.06%,59.67%,57.11%,54.54%,59.65%
37,New Mexico,45.04%,42.09%,48.03%,8.26%,6.70%,10.15%,48.25%,43.82%,52.71%,48.99%,45.42%,52.58%,48.89%,45.66%,52.14%
38,New York,50.90%,49.18%,52.62%,9.50%,8.27%,10.89%,56.07%,53.22%,58.87%,54.34%,52.28%,56.38%,54.57%,52.70%,56.42%
39,North Carolina,49.31%,47.02%,51.61%,9.19%,7.63%,11.04%,54.94%,51.52%,58.31%,53.07%,50.30%,55.83%,53.33%,50.82%,55.81%
40,North Dakota,56.40%,53.72%,59.05%,9.42%,7.67%,11.53%,67.76%,63.30%,71.93%,59.62%,56.37%,62.80%,60.93%,58.00%,63.79%
41,Ohio,51.31%,49.50%,53.12%,9.63%,8.29%,11.15%,57.61%,54.80%,60.36%,55.13%,52.95%,57.30%,55.46%,53.48%,57.43%
42,Oklahoma,44.48%,41.69%,47.29%,8.23%,6.65%,10.15%,51.80%,47.55%,56.02%,47.87%,44.49%,51.27%,48.43%,45.36%,51.51%
43,Oregon,57.48%,54.76%,60.15%,10.70%,8.85%,12.88%,58.34%,54.07%,62.49%,62.13%,58.91%,65.25%,61.66%,58.71%,64.53%
44,Pennsylvania,52.35%,50.41%,54.29%,9.18%,7.89%,10.65%,56.15%,53.09%,59.16%,56.31%,53.98%,58.62%,56.30%,54.19%,58.38%
45,Rhode Island,58.58%,55.67%,61.44%,10.42%,8.50%,12.70%,66.17%,61.71%,70.37%,62.17%,58.73%,65.49%,62.75%,59.61%,65.80%
46,South Carolina,48.42%,45.59%,51.25%,9.01%,7.38%,10.94%,49.57%,45.25%,53.90%,52.61%,49.24%,55.96%,52.22%,49.13%,55.29%
47,South Dakota,54.38%,51.55%,57.17%,9.24%,7.60%,11.17%,59.82%,55.68%,63.83%,59.09%,55.63%,62.46%,59.19%,56.08%,62.23%
48,Tennessee,43.94%,41.15%,46.77%,9.12%,7.40%,11.20%,51.53%,47.17%,55.86%,46.74%,43.42%,50.09%,47.38%,44.33%,50.45%
49,Texas,47.64%,46.16%,49.11%,9.10%,7.90%,10.46%,50.79%,48.21%,53.36%,52.45%,50.61%,54.29%,52.20%,50.56%,53.84%
50,Utah,29.16%,26.75%,31.70%,5.67%,4.06%,7.87%,32.49%,28.19%,37.10%,32.49%,29.40%,35.74%,32.47%,29.74%,35.32%
51,Vermont,60.89%,58.00%,63.71%,13.58%,11.34%,16.18%,67.67%,63.53%,71.55%,64.25%,60.78%,67.57%,64.74%,61.62%,67.75%
52,Virginia,51.14%,48.91%,53.37%,9.07%,7.56%,10.85%,58.33%,54.72%,61.86%,54.77%,52.10%,57.41%,55.25%,52.82%,57.66%
53,Washington,55.08%,52.22%,57.91%,9.96%,8.16%,12.11%,53.19%,48.78%,57.55%,60.21%,56.79%,63.54%,59.32%,56.21%,62.36%
54,West Virginia,38.72%,35.84%,41.69%,9.61%,7.75%,11.87%,48.35%,44.17%,52.56%,40.29%,36.88%,43.81%,41.29%,38.17%,44.48%
55,Wisconsin,59.93%,57.10%,62.70%,11.11%,9.19%,13.38%,66.35%,62.39%,70.09%,64.49%,61.06%,67.78%,64.75%,61.64%,67.74%
56,Wyoming,51.99%,49.21%,54.76%,9.68%,7.87%,11.85%,57.92%,53.79%,61.93%,56.13%,52.76%,59.44%,56.37%,53.31%,59.38%
