Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,4.91%,4.73%,5.09%,8.14%,7.79%,8.51%,4.40%,4.20%,4.60%
2,Northeast,4.64%,4.31%,4.99%,8.14%,7.51%,8.82%,4.10%,3.75%,4.48%
3,Midwest,5.29%,5.00%,5.59%,9.05%,8.45%,9.69%,4.68%,4.37%,5.01%
4,South,4.74%,4.49%,5.00%,7.58%,7.11%,8.08%,4.30%,4.03%,4.59%
5,West,5.03%,4.71%,5.37%,8.21%,7.57%,8.91%,4.53%,4.18%,4.90%
6,Alabama,5.64%,4.70%,6.75%,8.42%,6.76%,10.45%,5.20%,4.22%,6.40%
7,Alaska,5.86%,4.90%,6.99%,10.61%,8.54%,13.10%,5.12%,4.16%,6.28%
8,Arizona,5.56%,4.62%,6.68%,9.72%,7.78%,12.07%,4.89%,3.91%,6.10%
9,Arkansas,5.53%,4.65%,6.56%,9.14%,7.30%,11.40%,4.95%,4.05%,6.04%
10,California,4.53%,4.05%,5.07%,7.11%,6.13%,8.23%,4.12%,3.60%,4.70%
11,Colorado,5.53%,4.65%,6.57%,9.68%,7.86%,11.86%,4.89%,3.99%,5.97%
12,Connecticut,4.50%,3.74%,5.42%,8.54%,6.81%,10.65%,3.86%,3.08%,4.83%
13,Delaware,5.44%,4.48%,6.58%,7.85%,6.24%,9.83%,5.10%,4.09%,6.34%
14,District of Columbia,4.92%,4.06%,5.95%,6.75%,5.20%,8.71%,4.59%,3.70%,5.70%
15,Florida,4.34%,3.79%,4.97%,7.37%,6.33%,8.56%,3.95%,3.36%,4.62%
16,Georgia,4.49%,3.79%,5.33%,6.87%,5.55%,8.47%,4.11%,3.36%,5.00%
17,Hawaii,4.16%,3.45%,5.01%,7.69%,6.14%,9.59%,3.70%,2.97%,4.61%
18,Idaho,5.28%,4.41%,6.31%,9.54%,7.76%,11.67%,4.58%,3.68%,5.68%
19,Illinois,4.51%,3.91%,5.20%,8.61%,7.28%,10.16%,3.87%,3.24%,4.61%
20,Indiana,5.42%,4.54%,6.45%,9.05%,7.25%,11.24%,4.80%,3.89%,5.91%
21,Iowa,5.40%,4.53%,6.43%,9.12%,7.32%,11.32%,4.75%,3.86%,5.85%
22,Kansas,5.74%,4.78%,6.87%,9.93%,8.06%,12.18%,5.00%,4.02%,6.21%
23,Kentucky,5.76%,4.83%,6.86%,8.39%,6.77%,10.35%,5.34%,4.36%,6.53%
24,Louisiana,5.30%,4.41%,6.35%,8.23%,6.58%,10.24%,4.84%,3.91%,5.97%
25,Maine,6.03%,5.04%,7.19%,11.35%,9.25%,13.86%,5.36%,4.35%,6.58%
26,Maryland,4.48%,3.74%,5.36%,8.74%,6.99%,10.89%,3.85%,3.12%,4.76%
27,Massachusetts,5.16%,4.33%,6.14%,8.88%,7.14%,10.99%,4.54%,3.68%,5.58%
28,Michigan,5.00%,4.38%,5.70%,8.02%,6.81%,9.43%,4.51%,3.86%,5.27%
29,Minnesota,4.89%,4.08%,5.85%,9.09%,7.26%,11.33%,4.24%,3.43%,5.25%
