Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.70%,2.58%,2.83%,2.99%,2.76%,3.24%,7.09%,6.72%,7.46%,1.98%,1.85%,2.12%,2.67%,2.54%,2.81%
2,Northeast,2.72%,2.49%,2.98%,2.78%,2.44%,3.16%,7.29%,6.60%,8.03%,2.02%,1.77%,2.30%,2.72%,2.47%,2.99%
3,Midwest,2.64%,2.45%,2.84%,3.01%,2.69%,3.36%,7.03%,6.47%,7.63%,1.89%,1.69%,2.11%,2.60%,2.40%,2.82%
4,South,2.36%,2.20%,2.53%,2.70%,2.41%,3.03%,6.32%,5.85%,6.82%,1.70%,1.53%,1.89%,2.32%,2.16%,2.50%
5,West,3.29%,3.03%,3.58%,3.57%,3.12%,4.09%,8.19%,7.44%,9.01%,2.48%,2.19%,2.81%,3.26%,2.98%,3.57%
6,Alabama,2.66%,2.11%,3.35%,2.24%,1.65%,3.04%,7.22%,5.55%,9.35%,1.99%,1.44%,2.75%,2.70%,2.11%,3.45%
7,Alaska,3.48%,2.80%,4.31%,3.47%,2.57%,4.68%,8.63%,6.71%,11.05%,2.67%,1.97%,3.61%,3.48%,2.75%,4.39%
8,Arizona,2.79%,2.22%,3.49%,3.48%,2.58%,4.68%,7.49%,5.70%,9.78%,1.94%,1.39%,2.71%,2.71%,2.12%,3.47%
9,Arkansas,2.39%,1.90%,3.01%,2.59%,1.95%,3.43%,6.51%,4.92%,8.56%,1.71%,1.24%,2.36%,2.37%,1.85%,3.04%
10,California,3.42%,3.03%,3.86%,3.56%,2.93%,4.33%,8.31%,7.19%,9.60%,2.62%,2.20%,3.11%,3.41%,2.99%,3.88%
11,Colorado,4.57%,3.71%,5.60%,4.43%,3.24%,6.04%,11.39%,9.13%,14.13%,3.52%,2.62%,4.71%,4.58%,3.68%,5.69%
12,Connecticut,2.65%,2.06%,3.39%,2.59%,1.91%,3.50%,7.40%,5.62%,9.68%,1.90%,1.33%,2.70%,2.65%,2.03%,3.45%
13,Delaware,2.92%,2.31%,3.68%,3.42%,2.60%,4.50%,7.60%,5.84%,9.83%,2.20%,1.59%,3.05%,2.87%,2.23%,3.69%
14,District of Columbia,4.17%,3.29%,5.28%,4.18%,3.11%,5.59%,8.17%,6.20%,10.69%,3.45%,2.52%,4.71%,4.17%,3.25%,5.34%
15,Florida,2.31%,1.96%,2.73%,3.05%,2.47%,3.77%,6.32%,5.30%,7.53%,1.72%,1.35%,2.18%,2.25%,1.88%,2.69%
16,Georgia,2.30%,1.88%,2.81%,2.47%,1.88%,3.23%,6.39%,5.02%,8.09%,1.61%,1.21%,2.14%,2.28%,1.84%,2.83%
17,Hawaii,2.71%,2.11%,3.47%,2.63%,1.89%,3.63%,6.90%,5.23%,9.05%,2.17%,1.55%,3.03%,2.72%,2.08%,3.54%
18,Idaho,2.36%,1.87%,2.96%,3.12%,2.34%,4.15%,6.59%,4.98%,8.66%,1.56%,1.11%,2.19%,2.27%,1.76%,2.92%
19,Illinois,2.69%,2.25%,3.21%,3.23%,2.52%,4.13%,7.00%,5.74%,8.50%,1.95%,1.50%,2.53%,2.63%,2.17%,3.20%
20,Indiana,3.04%,2.44%,3.77%,3.06%,2.32%,4.03%,7.79%,6.00%,10.05%,2.22%,1.64%,3.01%,3.03%,2.40%,3.83%
21,Iowa,2.57%,2.01%,3.27%,3.01%,2.26%,3.99%,6.35%,4.75%,8.45%,1.86%,1.32%,2.60%,2.52%,1.94%,3.28%
22,Kansas,2.24%,1.73%,2.89%,2.60%,1.92%,3.52%,6.18%,4.56%,8.33%,1.50%,1.04%,2.15%,2.20%,1.67%,2.89%
23,Kentucky,2.57%,2.04%,3.23%,2.74%,2.02%,3.70%,5.78%,4.30%,7.73%,2.04%,1.50%,2.77%,2.55%,1.99%,3.26%
24,Louisiana,2.55%,1.97%,3.29%,2.16%,1.56%,3.00%,5.96%,4.47%,7.90%,2.06%,1.46%,2.90%,2.59%,1.97%,3.39%
25,Maine,3.03%,2.42%,3.80%,3.30%,2.46%,4.41%,9.04%,7.08%,11.49%,2.25%,1.64%,3.08%,3.01%,2.37%,3.82%
26,Maryland,2.53%,2.00%,3.21%,3.06%,2.30%,4.06%,7.82%,5.96%,10.19%,1.69%,1.20%,2.39%,2.48%,1.91%,3.21%
27,Massachusetts,3.01%,2.39%,3.78%,3.02%,2.27%,4.02%,7.54%,5.77%,9.80%,2.24%,1.63%,3.08%,3.01%,2.35%,3.84%
28,Michigan,2.51%,2.12%,2.97%,2.87%,2.28%,3.62%,7.63%,6.33%,9.17%,1.64%,1.26%,2.13%,2.47%,2.06%,2.96%
29,Minnesota,2.68%,2.12%,3.39%,3.25%,2.45%,4.31%,6.84%,5.22%,8.91%,1.97%,1.42%,2.73%,2.62%,2.02%,3.38%
30,Mississippi,2.34%,1.83%,2.98%,2.23%,1.62%,3.07%,5.79%,4.37%,7.63%,1.78%,1.27%,2.48%,2.35%,1.81%,3.04%
31,Missouri,2.53%,2.01%,3.18%,2.82%,2.12%,3.73%,6.57%,5.01%,8.58%,1.87%,1.36%,2.57%,2.51%,1.96%,3.20%
32,Montana,3.03%,2.43%,3.77%,3.57%,2.70%,4.72%,7.35%,5.66%,9.51%,2.31%,1.71%,3.11%,2.98%,2.35%,3.78%
33,Nebraska,2.51%,1.98%,3.17%,2.69%,2.01%,3.59%,6.92%,5.31%,8.98%,1.72%,1.21%,2.44%,2.49%,1.93%,3.20%
34,Nevada,3.80%,2.98%,4.82%,4.23%,3.09%,5.78%,9.81%,7.54%,12.66%,2.91%,2.08%,4.07%,3.75%,2.89%,4.86%
35,New Hampshire,2.46%,1.92%,3.15%,3.00%,2.23%,4.02%,7.43%,5.58%,9.83%,1.67%,1.16%,2.39%,2.41%,1.84%,3.15%
36,New Jersey,2.43%,1.96%,3.02%,2.54%,1.93%,3.33%,7.46%,5.86%,9.46%,1.70%,1.24%,2.32%,2.42%,1.92%,3.05%
37,New Mexico,2.70%,2.15%,3.38%,4.22%,3.16%,5.62%,7.24%,5.51%,9.45%,1.79%,1.27%,2.53%,2.54%,1.97%,3.26%
38,New York,2.86%,2.44%,3.34%,2.81%,2.25%,3.51%,7.18%,6.01%,8.56%,2.19%,1.75%,2.74%,2.86%,2.42%,3.38%
39,North Carolina,2.67%,2.21%,3.23%,3.05%,2.35%,3.95%,7.30%,5.87%,9.06%,1.91%,1.46%,2.50%,2.64%,2.15%,3.23%
40,North Dakota,2.66%,2.09%,3.37%,2.74%,1.99%,3.75%,6.47%,4.88%,8.53%,1.91%,1.37%,2.66%,2.65%,2.05%,3.42%
41,Ohio,2.83%,2.40%,3.32%,3.14%,2.49%,3.96%,7.46%,6.25%,8.88%,2.07%,1.63%,2.63%,2.80%,2.34%,3.33%
42,Oklahoma,2.43%,1.91%,3.09%,2.95%,2.18%,3.98%,6.00%,4.50%,7.96%,1.77%,1.26%,2.47%,2.37%,1.83%,3.08%
43,Oregon,3.00%,2.40%,3.74%,4.10%,3.13%,5.35%,7.59%,5.82%,9.84%,2.22%,1.63%,3.03%,2.90%,2.27%,3.69%
