Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,71.52%,71.13%,71.91%,65.16%,64.45%,65.86%,66.86%,66.20%,67.52%,72.98%,72.51%,73.45%,72.15%,71.73%,72.56%
2,Northeast,73.98%,73.21%,74.73%,67.15%,66.06%,68.23%,69.14%,67.81%,70.43%,75.43%,74.57%,76.27%,74.59%,73.78%,75.39%
3,Midwest,67.87%,67.18%,68.55%,63.45%,62.44%,64.45%,62.99%,61.89%,64.09%,69.17%,68.36%,69.96%,68.31%,67.57%,69.04%
4,South,70.98%,70.40%,71.55%,64.77%,63.88%,65.66%,66.39%,65.40%,67.35%,72.42%,71.75%,73.07%,71.60%,70.98%,72.21%
5,West,73.80%,73.06%,74.52%,65.96%,64.80%,67.09%,69.40%,68.18%,70.59%,75.40%,74.55%,76.24%,74.58%,73.79%,75.35%
6,Alabama,68.13%,65.70%,70.47%,62.74%,59.99%,65.40%,63.16%,59.38%,66.79%,69.52%,66.81%,72.11%,68.66%,66.07%,71.14%
7,Alaska,67.81%,65.45%,70.09%,62.96%,60.07%,65.76%,61.17%,57.28%,64.93%,69.45%,66.80%,71.98%,68.33%,65.79%,70.78%
8,Arizona,71.51%,69.01%,73.89%,65.02%,62.02%,67.90%,67.42%,63.47%,71.15%,72.94%,70.18%,75.54%,72.17%,69.50%,74.70%
9,Arkansas,67.16%,64.87%,69.36%,61.68%,58.83%,64.44%,63.46%,59.75%,67.02%,68.41%,65.88%,70.83%,67.72%,65.28%,70.08%
10,California,76.29%,75.19%,77.35%,67.07%,65.27%,68.82%,72.42%,70.51%,74.25%,77.98%,76.70%,79.21%,77.21%,76.03%,78.34%
11,Colorado,72.46%,70.24%,74.58%,64.80%,62.10%,67.41%,65.43%,61.72%,68.96%,74.43%,72.01%,76.71%,73.22%,70.85%,75.46%
12,Connecticut,76.62%,74.32%,78.77%,68.25%,65.45%,70.93%,72.63%,68.92%,76.05%,78.18%,75.69%,80.48%,77.42%,74.99%,79.67%
13,Delaware,71.81%,69.52%,74.00%,64.68%,62.03%,67.24%,67.31%,63.65%,70.78%,73.19%,70.68%,75.56%,72.46%,70.02%,74.78%
14,District of Columbia,75.38%,73.10%,77.53%,64.45%,61.78%,67.03%,70.81%,67.01%,74.35%,76.93%,74.52%,79.17%,75.99%,73.62%,78.21%
15,Florida,75.38%,74.00%,76.71%,67.29%,65.38%,69.14%,70.41%,68.23%,72.50%,76.81%,75.24%,78.30%,76.06%,74.59%,77.47%
16,Georgia,70.88%,69.02%,72.67%,64.77%,62.35%,67.11%,67.31%,64.27%,70.21%,72.24%,70.14%,74.25%,71.55%,69.55%,73.46%
17,Hawaii,69.14%,66.70%,71.49%,62.76%,59.55%,65.86%,63.38%,59.55%,67.04%,70.53%,67.83%,73.10%,69.71%,67.12%,72.19%
18,Idaho,68.71%,66.35%,70.97%,63.65%,60.85%,66.36%,63.15%,59.39%,66.75%,70.32%,67.67%,72.83%,69.30%,66.78%,71.72%
19,Illinois,72.43%,70.92%,73.90%,64.67%,62.53%,66.75%,67.52%,65.01%,69.94%,74.10%,72.39%,75.75%,73.21%,71.60%,74.77%
20,Indiana,66.95%,64.67%,69.16%,64.05%,61.45%,66.56%,63.20%,59.47%,66.78%,67.95%,65.41%,70.39%,67.26%,64.80%,69.62%
21,Iowa,63.70%,61.12%,66.20%,61.77%,58.81%,64.64%,58.72%,54.71%,62.62%,64.79%,61.87%,67.60%,63.89%,61.11%,66.58%
22,Kansas,66.36%,63.89%,68.75%,62.28%,59.46%,65.01%,61.96%,57.89%,65.88%,67.66%,64.93%,70.27%,66.81%,64.15%,69.35%
23,Kentucky,64.39%,62.06%,66.66%,62.47%,59.71%,65.14%,60.34%,56.65%,63.92%,65.25%,62.67%,67.74%,64.58%,62.10%,66.98%
24,Louisiana,69.27%,66.85%,71.59%,63.10%,60.41%,65.71%,67.37%,63.69%,70.85%,70.30%,67.64%,72.83%,69.91%,67.32%,72.37%
25,Maine,70.77%,68.44%,72.99%,66.88%,64.14%,69.50%,67.02%,63.30%,70.53%,71.59%,69.07%,73.99%,71.08%,68.63%,73.41%
26,Maryland,73.39%,71.13%,75.54%,66.28%,63.61%,68.85%,67.92%,64.06%,71.54%,74.99%,72.55%,77.27%,74.08%,71.69%,76.34%
27,Massachusetts,74.14%,71.91%,76.26%,68.67%,65.89%,71.32%,68.27%,64.44%,71.87%,75.68%,73.31%,77.91%,74.61%,72.27%,76.82%
28,Michigan,67.62%,66.03%,69.17%,64.19%,62.07%,66.24%,62.74%,60.19%,65.22%,68.79%,66.98%,70.54%,67.95%,66.25%,69.60%
29,Minnesota,68.12%,65.67%,70.47%,63.79%,61.04%,66.45%,63.74%,59.78%,67.53%,69.29%,66.62%,71.85%,68.55%,65.95%,71.05%
30,Mississippi,67.27%,64.98%,69.47%,60.61%,57.86%,63.29%,64.63%,61.14%,67.98%,68.55%,65.97%,71.01%,67.99%,65.51%,70.36%
31,Missouri,65.85%,63.52%,68.10%,62.74%,60.11%,65.30%,61.15%,57.44%,64.74%,66.94%,64.34%,69.43%,66.16%,63.67%,68.55%
32,Montana,69.77%,67.42%,72.02%,63.26%,60.68%,65.77%,64.22%,60.54%,67.74%,71.32%,68.70%,73.79%,70.37%,67.86%,72.76%
33,Nebraska,66.21%,63.93%,68.43%,60.91%,58.20%,63.55%,60.03%,56.34%,63.60%,67.97%,65.42%,70.41%,66.79%,64.34%,69.15%
34,Nevada,72.10%,69.65%,74.42%,65.95%,63.15%,68.64%,66.90%,63.11%,70.49%,73.51%,70.85%,76.00%,72.70%,70.10%,75.16%
35,New Hampshire,71.89%,69.41%,74.24%,66.20%,63.48%,68.82%,65.22%,61.19%,69.05%,73.43%,70.76%,75.95%,72.37%,69.75%,74.85%
36,New Jersey,77.16%,75.33%,78.89%,68.98%,66.59%,71.28%,71.58%,68.44%,74.52%,78.88%,76.85%,80.77%,77.96%,76.00%,79.80%
37,New Mexico,71.52%,69.09%,73.83%,63.12%,60.28%,65.88%,67.54%,63.67%,71.18%,73.16%,70.51%,75.66%,72.39%,69.80%,74.84%
38,New York,76.14%,74.75%,77.47%,68.51%,66.56%,70.39%,72.09%,69.80%,74.28%,77.54%,75.97%,79.03%,76.81%,75.33%,78.22%
39,North Carolina,68.34%,66.42%,70.19%,63.94%,61.44%,66.37%,63.18%,60.13%,66.14%,69.64%,67.50%,71.70%,68.77%,66.73%,70.74%
40,North Dakota,64.21%,61.64%,66.70%,60.99%,58.08%,63.82%,58.63%,54.68%,62.47%,65.66%,62.78%,68.43%,64.51%,61.77%,67.16%
41,Ohio,67.42%,65.88%,68.92%,62.48%,60.30%,64.62%,62.06%,59.51%,64.54%,68.81%,67.04%,70.52%,67.90%,66.26%,69.50%
42,Oklahoma,65.01%,62.56%,67.39%,62.78%,59.88%,65.59%,59.66%,55.82%,63.39%,66.18%,63.44%,68.82%,65.25%,62.61%,67.80%
43,Oregon,73.32%,71.03%,75.49%,66.22%,63.58%,68.75%,69.61%,65.85%,73.12%,74.57%,72.08%,76.91%,73.95%,71.51%,76.25%
44,Pennsylvania,68.43%,66.91%,69.92%,62.96%,60.81%,65.06%,63.30%,60.67%,65.86%,69.77%,68.05%,71.42%,68.93%,67.31%,70.50%
45,Rhode Island,73.09%,70.71%,75.35%,65.80%,63.06%,68.44%,67.33%,63.57%,70.87%,74.81%,72.24%,77.23%,73.71%,71.20%,76.08%
46,South Carolina,67.47%,64.99%,69.86%,62.78%,60.01%,65.46%,63.06%,59.08%,66.87%,68.64%,65.95%,71.20%,67.92%,65.28%,70.44%
47,South Dakota,64.94%,62.44%,67.36%,63.65%,60.64%,66.56%,59.83%,55.80%,63.74%,65.94%,63.09%,68.67%,65.07%,62.36%,67.68%
48,Tennessee,68.94%,66.64%,71.14%,64.66%,62.10%,67.14%,64.63%,61.03%,68.07%,70.07%,67.56%,72.47%,69.35%,66.90%,71.70%
49,Texas,72.15%,70.84%,73.43%,64.74%,62.69%,66.73%,67.63%,65.46%,69.72%,73.96%,72.42%,75.45%,73.02%,71.59%,74.41%
50,Utah,72.20%,70.06%,74.24%,65.42%,62.48%,68.25%,69.13%,65.52%,72.51%,74.04%,71.68%,76.27%,73.15%,70.85%,75.33%
51,Vermont,71.64%,69.26%,73.89%,65.78%,63.10%,68.36%,66.53%,62.64%,70.20%,73.06%,70.48%,75.49%,72.11%,69.60%,74.48%
52,Virginia,73.93%,72.07%,75.71%,68.23%,65.84%,70.53%,68.65%,65.60%,71.55%,75.39%,73.31%,77.35%,74.48%,72.50%,76.37%
