Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,44.83%,44.39%,45.27%,43.11%,42.43%,43.79%,38.02%,37.30%,38.74%,46.10%,45.56%,46.63%,45.00%,44.52%,45.48%
2,Northeast,44.41%,43.55%,45.28%,42.56%,41.40%,43.73%,35.62%,34.53%,36.73%,45.95%,44.93%,46.98%,44.58%,43.67%,45.49%
3,Midwest,40.29%,39.54%,41.05%,39.68%,38.59%,40.79%,33.88%,32.88%,34.89%,41.40%,40.50%,42.30%,40.35%,39.55%,41.16%
4,South,46.83%,46.17%,47.49%,45.41%,44.38%,46.44%,40.22%,39.26%,41.18%,48.03%,47.25%,48.82%,46.98%,46.27%,47.68%
5,West,45.91%,45.10%,46.73%,42.79%,41.60%,43.99%,39.95%,38.80%,41.10%,47.22%,46.26%,48.19%,46.22%,45.36%,47.09%
6,Alabama,45.77%,43.22%,48.35%,44.91%,41.78%,48.08%,39.36%,36.61%,42.19%,46.88%,43.96%,49.81%,45.86%,43.21%,48.53%
7,Alaska,41.16%,38.63%,43.74%,40.20%,36.91%,43.59%,37.35%,34.31%,40.49%,41.88%,39.02%,44.79%,41.27%,38.64%,43.94%
8,Arizona,44.23%,41.74%,46.75%,40.49%,37.31%,43.76%,39.52%,36.54%,42.59%,45.44%,42.61%,48.30%,44.61%,42.03%,47.23%
9,Arkansas,44.89%,42.45%,47.36%,43.71%,40.62%,46.86%,37.70%,34.95%,40.53%,46.19%,43.36%,49.04%,45.01%,42.47%,47.59%
10,California,48.73%,47.44%,50.03%,44.70%,42.86%,46.56%,42.26%,40.51%,44.04%,50.25%,48.72%,51.77%,49.14%,47.77%,50.51%
11,Colorado,43.90%,41.49%,46.33%,41.44%,38.24%,44.71%,36.73%,34.08%,39.46%,45.30%,42.58%,48.04%,44.14%,41.66%,46.65%
12,Connecticut,44.67%,42.02%,47.36%,43.34%,39.98%,46.75%,34.90%,32.19%,37.71%,46.38%,43.35%,49.42%,44.80%,42.06%,47.57%
13,Delaware,42.85%,40.23%,45.51%,42.58%,39.33%,45.90%,37.57%,34.75%,40.47%,43.62%,40.66%,46.62%,42.87%,40.16%,45.62%
14,District of Columbia,45.34%,42.90%,47.80%,49.15%,45.82%,52.49%,37.10%,34.22%,40.09%,46.57%,43.81%,49.35%,45.12%,42.63%,47.64%
15,Florida,48.18%,46.62%,49.75%,46.09%,44.01%,48.19%,42.42%,40.44%,44.41%,49.14%,47.33%,50.95%,48.36%,46.72%,50.01%
16,Georgia,48.80%,46.81%,50.79%,49.18%,46.29%,52.07%,43.10%,40.39%,45.86%,49.69%,47.38%,51.99%,48.76%,46.68%,50.84%
17,Hawaii,42.51%,39.95%,45.12%,43.01%,39.71%,46.38%,39.07%,35.95%,42.28%,42.91%,39.98%,45.89%,42.47%,39.79%,45.19%
18,Idaho,42.53%,40.10%,44.99%,40.25%,37.15%,43.44%,35.84%,32.99%,38.78%,43.94%,41.17%,46.75%,42.80%,40.27%,45.36%
19,Illinois,42.05%,40.35%,43.78%,41.15%,38.70%,43.63%,37.06%,34.89%,39.27%,42.94%,40.94%,44.96%,42.14%,40.36%,43.95%
