Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,70.59%,70.18%,71.01%,54.03%,53.32%,54.74%,62.64%,61.89%,63.39%,73.73%,73.24%,74.23%,72.22%,71.77%,72.67%
2,Northeast,68.41%,67.55%,69.25%,54.31%,53.08%,55.53%,59.29%,57.88%,60.69%,71.26%,70.25%,72.24%,69.67%,68.75%,70.56%
3,Midwest,69.63%,68.94%,70.30%,52.69%,51.58%,53.80%,61.05%,59.82%,62.27%,72.98%,72.16%,73.78%,71.32%,70.58%,72.05%
4,South,74.73%,74.19%,75.27%,55.56%,54.53%,56.58%,67.05%,65.97%,68.12%,78.17%,77.52%,78.81%,76.67%,76.09%,77.24%
5,West,66.44%,65.68%,67.20%,52.56%,51.25%,53.86%,59.53%,58.12%,60.91%,69.15%,68.23%,70.05%,67.82%,67.00%,68.64%
6,Alabama,76.45%,74.23%,78.54%,55.84%,52.66%,58.96%,68.99%,65.59%,72.19%,79.97%,77.45%,82.27%,78.48%,76.11%,80.68%
7,Alaska,64.28%,61.77%,66.70%,51.30%,48.11%,54.48%,58.18%,54.59%,61.69%,66.84%,63.91%,69.65%,65.67%,62.95%,68.28%
8,Arizona,68.40%,65.84%,70.86%,51.92%,48.72%,55.10%,60.99%,57.35%,64.51%,71.55%,68.58%,74.34%,70.07%,67.31%,72.70%
9,Arkansas,78.14%,76.07%,80.08%,57.22%,53.94%,60.44%,72.07%,68.59%,75.30%,81.64%,79.27%,83.79%,80.31%,78.08%,82.37%
10,California,67.21%,66.04%,68.37%,52.94%,51.04%,54.84%,60.63%,58.65%,62.58%,69.91%,68.51%,71.27%,68.62%,67.36%,69.85%
11,Colorado,62.29%,59.69%,64.83%,52.12%,48.20%,56.02%,54.23%,50.48%,57.92%,64.70%,61.59%,67.68%,63.28%,60.45%,66.02%
12,Connecticut,69.76%,67.15%,72.24%,55.03%,51.86%,58.16%,60.21%,56.58%,63.73%,72.90%,69.89%,75.71%,71.15%,68.36%,73.79%
13,Delaware,70.72%,68.15%,73.17%,54.99%,51.97%,57.98%,61.82%,58.30%,65.22%,73.61%,70.68%,76.34%,72.15%,69.40%,74.74%
14,District of Columbia,59.89%,57.13%,62.58%,55.01%,51.49%,58.47%,54.64%,50.57%,58.65%,61.13%,57.99%,64.18%,60.14%,57.25%,62.96%
15,Florida,74.97%,73.66%,76.24%,54.78%,52.67%,56.87%,66.20%,64.17%,68.18%,78.06%,76.51%,79.53%,76.67%,75.26%,78.03%
16,Georgia,75.64%,73.87%,77.34%,58.10%,55.23%,60.93%,68.42%,65.52%,71.19%,79.06%,77.02%,80.96%,77.56%,75.66%,79.35%
17,Hawaii,68.08%,65.49%,70.57%,53.96%,50.40%,57.48%,60.95%,57.32%,64.47%,70.43%,67.41%,73.28%,69.33%,66.53%,72.00%
18,Idaho,69.69%,67.39%,71.89%,51.91%,48.84%,54.96%,60.84%,57.32%,64.25%,73.59%,70.93%,76.09%,71.79%,69.30%,74.15%
19,Illinois,68.50%,66.87%,70.08%,51.82%,49.30%,54.33%,61.64%,59.06%,64.16%,71.51%,69.63%,73.31%,70.17%,68.43%,71.85%
