Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,21.28%,20.92%,21.65%,4.01%,3.74%,4.30%,25.08%,24.44%,25.73%,22.68%,22.24%,23.13%,23.01%,22.61%,23.41%
2,Northeast,19.28%,18.55%,20.04%,3.59%,3.19%,4.05%,24.53%,23.35%,25.75%,20.12%,19.24%,21.03%,20.71%,19.91%,21.53%
3,Midwest,23.88%,23.20%,24.57%,4.50%,4.09%,4.95%,27.89%,26.84%,28.97%,25.51%,24.69%,26.36%,25.84%,25.10%,26.60%
4,South,23.38%,22.80%,23.97%,4.44%,4.05%,4.85%,26.75%,25.87%,27.64%,25.09%,24.38%,25.81%,25.31%,24.68%,25.96%
5,West,17.14%,16.48%,17.83%,3.19%,2.80%,3.63%,20.36%,19.33%,21.44%,18.26%,17.46%,19.10%,18.55%,17.83%,19.30%
6,Alabama,28.92%,26.48%,31.49%,5.31%,4.00%,7.01%,30.64%,27.13%,34.38%,31.36%,28.43%,34.46%,31.27%,28.61%,34.06%
7,Alaska,23.15%,21.00%,25.45%,6.56%,4.94%,8.66%,25.80%,22.32%,29.61%,24.83%,22.27%,27.59%,24.96%,22.61%,27.48%
8,Arizona,18.84%,16.72%,21.16%,2.93%,2.09%,4.09%,21.49%,18.29%,25.09%,20.31%,17.79%,23.08%,20.47%,18.15%,23.00%
9,Arkansas,29.15%,26.77%,31.66%,5.47%,4.21%,7.08%,30.89%,27.02%,35.04%,31.76%,28.91%,34.76%,31.64%,29.02%,34.38%
10,California,14.10%,13.15%,15.10%,2.56%,2.04%,3.20%,17.04%,15.49%,18.70%,14.97%,13.82%,16.20%,15.26%,14.22%,16.35%
11,Colorado,20.64%,18.62%,22.82%,4.15%,2.99%,5.72%,26.24%,22.85%,29.94%,21.66%,19.28%,24.25%,22.28%,20.09%,24.64%
12,Connecticut,18.76%,16.60%,21.13%,3.04%,2.18%,4.23%,24.08%,20.69%,27.83%,19.66%,17.13%,22.47%,20.27%,17.92%,22.84%
13,Delaware,22.60%,20.40%,24.96%,4.04%,2.97%,5.47%,25.59%,22.18%,29.32%,24.12%,21.55%,26.90%,24.31%,21.93%,26.86%
14,District of Columbia,19.22%,17.17%,21.46%,3.69%,2.67%,5.09%,21.51%,18.11%,25.36%,19.84%,17.49%,22.42%,20.09%,17.93%,22.44%
15,Florida,19.51%,18.26%,20.82%,3.34%,2.66%,4.19%,20.42%,18.56%,22.41%,20.94%,19.46%,22.51%,20.89%,19.53%,22.31%
16,Georgia,21.32%,19.66%,23.08%,3.64%,2.80%,4.71%,21.97%,19.20%,25.00%,23.49%,21.51%,25.60%,23.28%,21.45%,25.20%
17,Hawaii,17.30%,15.42%,19.37%,2.20%,1.51%,3.19%,18.83%,15.85%,22.21%,18.64%,16.43%,21.07%,18.66%,16.62%,20.90%
