Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"139,783","138,366","141,194","2,289","2,188","2,395","18,540","18,261","18,818","118,953","117,656","120,244","137,493","136,105","138,874"
2,Northeast,"25,790","25,325","26,255",390,361,421,"3,427","3,320","3,533","21,973","21,538","22,405","25,400","24,939","25,860"
3,Midwest,"30,954","30,493","31,415",508,475,542,"4,272","4,160","4,381","26,175","25,750","26,598","30,447","29,985","30,905"
4,South,"50,016","49,326","50,706",859,805,915,"6,508","6,322","6,695","42,649","42,018","43,276","49,157","48,469","49,843"
5,West,"33,023","32,439","33,599",534,494,576,"4,333","4,192","4,473","28,156","27,618","28,689","32,489","31,910","33,062"
6,Alabama,"1,798","1,685","1,913",31,25,38,232,210,253,"1,536","1,429","1,644","1,768","1,655","1,881"
7,Alaska,303,287,319,5,4,6,38,35,41,260,245,275,298,282,313
8,Arizona,"2,959","2,785","3,134",45,36,55,375,341,408,"2,540","2,377","2,702","2,915","2,741","3,087"
9,Arkansas,"1,031",965,"1,097",20,16,24,152,138,166,859,797,921,"1,011",946,"1,077"
10,California,"16,475","16,029","16,919",268,236,303,"2,275","2,173","2,376","13,932","13,512","14,349","16,207","15,763","16,648"
11,Colorado,"2,885","2,752","3,015",46,38,56,368,345,391,"2,470","2,344","2,591","2,838","2,706","2,966"
12,Connecticut,"1,837","1,747","1,925",30,25,37,251,235,267,"1,555","1,470","1,637","1,807","1,717","1,893"
13,Delaware,464,440,487,7,6,8,55,51,59,402,379,424,457,433,480
14,District of Columbia,394,378,410,3,2,4,61,57,65,330,315,345,391,375,407
15,Florida,"9,298","8,994","9,604",131,114,150,970,921,"1,018","8,198","7,901","8,492","9,167","8,865","9,471"
