Order,State,"12 or Older Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"5,499","5,214","5,798",104,83,131,"1,878","1,757","2,006","3,517","3,279","3,771","5,394","5,113","5,691"
2,Northeast,"1,056",958,"1,164",15,11,20,370,331,412,672,588,767,"1,041",943,"1,149"
3,Midwest,"1,037",947,"1,136",23,17,30,365,327,407,650,573,736,"1,015",925,"1,113"
4,South,"1,718","1,588","1,859",34,25,46,560,507,618,"1,124","1,011","1,250","1,684","1,554","1,825"
5,West,"1,687","1,547","1,838",32,23,46,584,526,647,"1,071",951,"1,206","1,655","1,515","1,806"
6,Alabama,73,53,101,1,1,2,21,15,29,51,35,76,72,52,100
7,Alaska,12,9,16,0,0,0,4,3,5,8,6,12,12,9,16
8,Arizona,110,81,149,3,2,5,41,29,56,67,45,99,107,78,146
9,Arkansas,28,19,41,1,0,2,10,6,14,17,11,28,27,18,40
10,California,909,799,"1,034",16,10,25,322,276,375,572,479,682,894,784,"1,018"
11,Colorado,198,158,247,3,2,5,65,51,82,130,97,174,195,156,244
12,Connecticut,61,45,82,1,1,2,24,17,33,36,24,53,60,44,81
13,Delaware,18,14,24,0,0,0,6,4,8,12,8,17,18,13,24
14,District of Columbia,24,18,31,0,0,0,6,4,8,18,13,25,24,18,31
15,Florida,315,261,381,5,3,8,99,81,121,211,163,271,310,256,376
16,Georgia,125,94,166,2,1,4,38,27,52,85,60,121,123,92,164
17,Hawaii,28,21,37,0,0,1,7,5,10,20,14,29,27,20,37
18,Idaho,20,14,28,1,0,2,7,5,11,12,7,18,19,13,27
19,Illinois,224,181,277,4,3,6,62,48,80,158,121,205,220,178,273
20,Indiana,88,64,121,3,2,4,34,24,48,51,34,78,85,62,118
21,Iowa,38,28,52,1,1,2,16,11,23,21,14,32,37,27,51
22,Kansas,49,35,68,1,1,2,16,11,23,31,21,47,48,34,66
23,Kentucky,72,54,96,2,1,3,21,15,30,50,35,70,71,53,95
24,Louisiana,69,51,93,1,1,2,22,16,31,46,31,67,68,50,92
25,Maine,23,17,30,1,0,1,9,7,12,14,9,20,22,17,30
26,Maryland,88,64,120,1,1,2,26,18,37,60,41,88,86,63,119
27,Massachusetts,134,101,176,2,1,3,55,41,74,76,53,110,132,99,174
28,Michigan,154,126,189,3,2,4,64,52,79,88,66,116,151,123,186
29,Minnesota,101,76,134,2,1,3,34,24,47,65,45,93,99,74,132
30,Mississippi,37,27,52,1,0,1,11,7,16,26,17,39,37,26,52
31,Missouri,68,48,95,2,1,3,26,18,37,40,26,63,66,47,93
32,Montana,19,15,25,0,0,1,8,6,10,11,8,15,19,14,24
33,Nebraska,27,20,36,1,0,1,13,9,17,14,9,21,26,19,35
34,Nevada,70,53,93,1,1,2,21,15,28,48,34,68,69,52,92
35,New Hampshire,31,24,40,1,0,1,13,10,17,18,12,25,31,23,40
36,New Jersey,119,90,158,2,1,4,41,30,57,76,53,109,117,88,156
37,New Mexico,33,24,45,1,1,2,11,8,15,21,14,31,32,23,44
38,New York,417,348,500,4,3,7,131,107,159,282,223,356,413,344,496
39,North Carolina,169,132,215,3,2,4,55,42,72,111,81,151,166,130,212
40,North Dakota,9,6,12,0,0,0,4,3,6,5,3,7,9,6,12
41,Ohio,171,139,212,3,2,5,59,47,74,109,82,145,168,135,208
42,Oklahoma,53,38,73,1,1,2,18,12,25,34,22,50,51,37,71
43,Oregon,104,82,132,2,1,3,35,26,46,67,49,91,102,80,130
44,Pennsylvania,234,193,284,4,3,6,82,67,101,148,115,191,230,189,280
45,Rhode Island,20,15,27,0,0,0,8,6,11,12,8,17,20,15,27
46,South Carolina,63,45,87,1,1,2,21,14,30,41,27,61,62,44,86
47,South Dakota,8,5,11,0,0,1,3,2,5,4,3,7,8,5,11
48,Tennessee,87,62,121,2,1,3,25,17,36,61,41,90,85,61,119
49,Texas,346,285,419,11,7,17,128,103,160,207,159,268,335,275,407
50,Utah,32,23,45,2,1,3,15,10,21,16,10,26,31,22,43
51,Vermont,17,13,21,0,0,0,7,5,9,10,7,14,16,13,21
52,Virginia,127,98,165,2,1,3,45,34,60,80,58,111,125,96,163
53,Washington,144,107,193,3,2,5,46,34,62,95,66,137,141,104,190
54,West Virginia,25,18,33,1,0,1,8,6,11,16,11,23,24,18,32
55,Wisconsin,100,75,134,2,2,4,34,25,47,64,44,93,98,73,131
56,Wyoming,8,6,11,0,0,0,3,2,5,4,3,6,8,6,10
