Order,State,"12 or Older Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"3,524","3,395","3,656","1,269","1,217","1,323","1,502","1,432","1,575",752,676,837,"2,254","2,141","2,374"
2,Northeast,619,577,663,210,194,226,279,255,305,130,105,160,409,371,450
3,Midwest,766,722,814,266,249,284,345,321,372,155,130,186,501,461,544
4,South,"1,196","1,132","1,263",456,429,484,511,476,548,229,190,275,740,683,801
5,West,943,879,"1,011",338,313,364,367,336,400,239,196,290,605,549,667
6,Alabama,44,36,53,16,13,20,19,15,25,9,5,15,28,21,36
7,Alaska,9,8,11,4,3,4,3,3,4,2,1,4,5,4,7
8,Arizona,80,65,98,30,24,37,29,22,38,21,12,34,50,37,67
9,Arkansas,29,24,34,11,9,13,12,10,16,5,3,9,18,14,23
10,California,482,435,534,176,157,197,187,163,214,119,89,159,306,265,353
11,Colorado,69,58,81,26,21,32,29,23,36,13,7,22,42,33,53
12,Connecticut,44,37,53,15,12,18,20,16,25,10,6,16,30,23,38
13,Delaware,10,9,12,4,3,5,4,3,5,2,1,4,6,5,8
14,District of Columbia,8,7,10,2,2,3,4,3,5,2,1,4,6,4,8
15,Florida,191,169,215,71,62,81,85,73,99,35,22,54,120,101,142
16,Georgia,106,91,124,39,32,47,45,37,56,22,14,33,67,54,83
17,Hawaii,11,9,13,4,3,5,4,3,5,2,1,4,6,5,9
18,Idaho,17,14,20,8,6,9,7,5,9,3,1,5,10,7,12
19,Illinois,131,114,151,51,44,60,53,44,64,27,18,40,80,66,98
20,Indiana,70,59,84,25,20,30,31,25,40,14,9,23,46,36,58
21,Iowa,36,30,42,12,10,15,17,13,21,6,4,11,23,18,29
22,Kansas,31,26,38,11,9,13,14,11,18,7,4,11,21,16,27
23,Kentucky,45,38,54,16,13,19,20,16,25,10,6,16,29,23,38
24,Louisiana,44,36,52,16,13,19,19,15,25,9,5,15,28,22,36
25,Maine,17,14,21,6,5,7,7,6,9,5,3,8,12,9,15
26,Maryland,56,46,67,22,18,27,23,18,29,11,6,18,33,26,44
27,Massachusetts,101,84,121,29,23,35,51,41,64,21,13,35,72,57,91
28,Michigan,135,119,154,42,36,48,62,53,72,32,22,45,94,80,111
29,Minnesota,63,52,76,21,17,26,27,21,35,15,9,23,41,32,53
30,Mississippi,27,23,32,11,9,13,12,10,15,4,2,8,16,13,21
31,Missouri,65,55,77,22,18,27,32,25,39,11,7,19,43,34,54
32,Montana,12,10,15,5,4,6,5,4,7,2,1,4,8,6,10
33,Nebraska,22,18,26,9,7,10,10,8,12,4,2,6,13,10,17
34,Nevada,36,30,44,13,11,16,13,10,16,10,6,16,23,17,30
35,New Hampshire,15,13,18,6,5,7,7,5,9,3,1,5,9,7,12
36,New Jersey,89,75,105,33,28,40,40,32,50,15,9,26,56,44,70
37,New Mexico,25,21,30,11,9,13,9,7,12,5,3,8,14,11,18
38,New York,202,178,229,67,59,77,88,75,103,47,32,67,134,112,161
39,North Carolina,94,80,110,42,35,51,35,28,43,17,10,28,51,40,66
40,North Dakota,9,7,11,3,2,3,5,4,6,2,1,3,6,5,8
41,Ohio,131,116,148,44,38,52,62,53,73,24,16,36,86,73,102
42,Oklahoma,41,34,49,14,11,17,17,13,22,9,5,15,26,20,34
43,Oregon,56,46,68,17,14,21,21,16,26,18,11,29,39,30,51
44,Pennsylvania,128,113,146,47,41,55,56,47,67,25,17,38,81,67,98
45,Rhode Island,14,11,16,4,3,5,6,5,8,3,2,5,9,7,12
46,South Carolina,45,37,54,18,15,23,19,14,24,8,4,14,27,20,35
47,South Dakota,9,7,11,3,3,4,4,3,5,2,1,3,6,4,8
48,Tennessee,64,53,76,24,20,30,28,22,36,11,7,19,39,30,51
49,Texas,297,264,334,113,98,130,127,109,147,57,40,81,184,156,217
50,Utah,35,29,43,12,10,15,16,12,20,7,5,12,23,18,30
51,Vermont,8,7,10,3,2,3,4,3,5,1,1,2,5,4,7
52,Virginia,78,67,92,29,24,34,34,27,42,16,10,25,50,40,62
53,Washington,105,85,128,29,24,36,41,33,51,34,21,55,75,57,98
54,West Virginia,18,15,22,7,6,8,8,6,10,3,2,6,11,9,14
55,Wisconsin,64,54,75,23,19,28,29,23,36,12,7,20,41,32,52
56,Wyoming,6,5,8,2,2,3,2,2,3,2,1,3,4,3,5
