Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"1,933","1,764","2,118",42,31,57,274,236,319,"1,616","1,455","1,796","1,891","1,723","2,075"
2,Northeast,195,147,260,6,4,10,30,22,41,159,115,220,189,142,253
3,Midwest,412,341,496,12,8,19,64,51,80,336,271,415,400,331,483
4,South,653,547,779,15,9,24,96,78,118,542,446,658,638,534,762
5,West,673,562,805,9,5,15,84,66,109,580,474,708,664,555,795
6,Alabama,47,28,78,1,0,2,5,3,9,41,23,72,46,27,77
7,Alaska,7,4,11,0,0,0,1,0,1,6,4,11,7,4,11
8,Arizona,105,66,167,1,0,2,11,6,18,93,56,156,104,65,166
9,Arkansas,23,14,38,1,0,1,3,2,6,19,10,34,22,13,38
10,California,315,238,418,3,1,6,34,22,53,278,204,379,312,235,415
11,Colorado,43,25,75,1,0,1,8,5,13,34,18,67,42,24,75
12,Connecticut,11,5,23,0,0,1,2,1,3,9,4,21,11,5,23
13,Delaware,5,3,10,0,0,0,1,0,1,4,2,9,5,3,9
14,District of Columbia,2,1,5,0,0,0,0,0,1,2,1,5,2,1,5
15,Florida,76,46,123,2,1,3,11,7,18,63,36,110,74,45,121
16,Georgia,48,28,81,1,1,2,6,4,10,40,22,73,47,27,79
17,Hawaii,15,9,25,0,0,0,1,1,2,14,8,24,15,9,25
18,Idaho,12,7,20,0,0,1,2,1,4,9,5,17,11,7,20
19,Illinois,41,23,73,1,1,3,4,2,7,36,19,68,40,22,72
20,Indiana,52,31,87,2,1,3,11,6,18,39,21,74,50,29,85
21,Iowa,29,17,49,1,0,1,4,2,6,25,14,45,29,17,48
22,Kansas,31,19,49,1,0,1,4,3,7,26,15,44,30,18,48
23,Kentucky,45,29,71,1,1,2,7,5,12,37,22,62,44,28,70
24,Louisiana,30,17,52,1,0,1,3,2,5,27,14,49,30,17,52
25,Maine,6,3,11,0,0,1,1,1,2,5,2,10,6,3,11
26,Maryland,16,8,33,0,0,1,2,1,4,13,6,30,15,7,32
27,Massachusetts,20,10,43,1,0,2,3,1,6,17,7,40,20,9,42
28,Michigan,32,19,53,1,1,3,6,4,10,24,13,45,31,18,51
29,Minnesota,37,21,64,1,1,2,5,3,8,31,16,58,36,20,63
30,Mississippi,23,13,40,0,0,1,2,1,4,20,11,37,23,13,40
31,Missouri,46,28,75,1,1,2,7,5,12,37,21,66,45,27,74
32,Montana,13,8,20,0,0,0,2,1,4,10,6,18,13,8,20
33,Nebraska,9,5,17,0,0,1,2,1,4,7,3,14,9,5,16
34,Nevada,31,19,51,0,0,1,4,3,7,26,15,46,31,19,51
35,New Hampshire,5,3,10,0,0,1,1,1,3,4,2,8,5,3,10
36,New Jersey,28,15,52,1,0,2,3,2,6,24,12,48,27,14,52
37,New Mexico,14,8,25,0,0,0,3,2,5,11,6,22,14,8,25
38,New York,40,21,74,2,1,3,6,3,12,32,16,66,38,20,73
39,North Carolina,49,28,84,1,1,2,7,4,11,41,22,76,48,27,83
40,North Dakota,7,4,11,0,0,0,1,1,2,5,3,10,7,4,11
41,Ohio,83,57,120,2,1,4,12,8,17,69,45,105,81,55,117
42,Oklahoma,39,24,61,1,0,1,6,4,10,32,19,54,38,24,60
43,Oregon,45,28,73,1,0,1,6,4,9,39,23,67,45,27,73
44,Pennsylvania,77,52,114,2,1,3,12,8,18,63,40,99,75,50,112
45,Rhode Island,4,2,9,0,0,0,1,0,1,3,2,8,4,2,9
46,South Carolina,24,13,46,1,0,1,4,2,7,20,10,41,24,13,45
47,South Dakota,5,3,8,0,0,0,1,1,2,3,2,7,5,3,8
48,Tennessee,58,35,96,1,1,2,7,4,12,49,28,87,57,34,95
49,Texas,119,79,179,3,1,6,22,14,35,94,58,152,116,77,176
50,Utah,22,13,37,1,0,2,5,3,8,16,9,30,21,13,36
51,Vermont,4,2,6,0,0,0,1,0,1,3,1,6,4,2,6
52,Virginia,28,15,51,1,0,2,5,3,9,22,11,45,27,15,50
53,Washington,47,26,85,1,0,2,6,4,11,40,20,78,46,25,84
54,West Virginia,21,14,32,0,0,1,3,2,5,17,11,29,21,13,32
55,Wisconsin,40,23,71,1,1,2,7,4,11,32,17,63,39,22,70
56,Wyoming,3,2,5,0,0,0,1,0,1,2,1,4,3,2,5
