Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"1,530","1,374","1,704",95,76,119,222,188,262,"1,213","1,059","1,389","1,435","1,280","1,608"
2,Northeast,233,188,288,15,11,20,36,28,46,182,140,237,218,174,273
3,Midwest,340,285,406,22,17,29,48,39,59,271,219,335,319,264,384
4,South,576,493,672,36,28,48,85,69,104,455,377,548,539,458,635
5,West,381,314,462,22,16,30,53,41,69,305,242,385,359,292,440
6,Alabama,31,18,52,2,1,3,4,2,6,25,13,47,29,17,51
7,Alaska,3,2,5,0,0,0,1,0,1,2,1,4,3,2,5
8,Arizona,33,20,56,2,1,4,6,3,9,26,13,49,31,18,54
9,Arkansas,12,8,20,1,1,1,2,2,4,9,5,17,12,7,19
10,California,192,141,262,11,7,17,25,17,36,157,108,226,181,130,252
11,Colorado,29,18,46,2,1,3,5,3,7,23,13,40,27,17,44
12,Connecticut,15,8,26,1,1,2,2,1,4,11,6,23,14,7,25
13,Delaware,5,3,8,0,0,0,1,0,1,4,2,7,5,3,8
14,District of Columbia,6,3,10,0,0,0,0,0,1,5,3,9,6,3,10
15,Florida,137,95,195,5,3,9,15,10,22,116,77,176,131,90,190
16,Georgia,46,29,72,3,2,5,8,5,12,35,20,63,43,26,69
17,Hawaii,6,4,12,0,0,1,1,0,1,6,3,11,6,3,12
18,Idaho,9,6,14,1,0,1,1,1,2,7,4,12,8,5,14
19,Illinois,47,31,72,4,3,6,7,4,11,36,21,62,43,27,68
20,Indiana,38,23,63,2,1,4,5,3,8,31,17,56,36,21,61
21,Iowa,16,10,26,1,1,2,2,1,4,13,7,23,15,9,25
22,Kansas,14,9,23,1,1,1,3,2,4,11,6,20,13,8,22
23,Kentucky,30,19,49,2,1,3,3,2,6,25,14,45,29,17,48
24,Louisiana,26,15,43,1,1,2,3,2,5,21,11,39,24,14,42
25,Maine,8,5,14,0,0,1,1,1,2,7,4,13,8,5,14
26,Maryland,22,13,37,2,1,3,3,2,5,17,9,33,20,11,36
27,Massachusetts,36,22,59,2,1,3,5,3,8,29,16,53,34,20,58
28,Michigan,37,25,55,3,2,5,7,5,10,27,16,46,34,22,53
29,Minnesota,19,11,32,2,1,3,3,2,6,14,7,28,17,10,31
30,Mississippi,12,7,19,1,1,1,2,1,3,9,5,17,11,6,19
31,Missouri,25,15,41,2,1,3,4,2,7,19,10,36,23,14,40
32,Montana,6,4,10,0,0,0,1,1,1,5,3,9,6,3,10
33,Nebraska,8,5,12,1,0,1,1,1,2,5,3,10,7,4,12
34,Nevada,15,9,25,1,1,2,2,1,4,12,6,22,14,8,24
35,New Hampshire,7,4,11,0,0,1,1,1,2,5,3,10,6,4,11
36,New Jersey,35,21,56,3,2,4,4,3,7,28,15,49,32,19,53
37,New Mexico,9,5,15,1,0,1,2,1,2,7,3,13,8,5,15
38,New York,69,46,102,5,3,8,10,7,16,53,32,88,63,41,98
39,North Carolina,48,30,75,3,2,5,8,5,12,37,21,65,44,27,72
40,North Dakota,5,3,8,0,0,0,1,0,1,4,2,7,4,3,8
41,Ohio,103,71,149,4,2,6,10,6,15,90,60,136,100,68,146
42,Oklahoma,18,11,29,1,1,2,3,2,5,13,7,25,16,10,28
43,Oregon,22,13,37,1,1,2,3,2,5,18,10,33,21,12,36
44,Pennsylvania,56,37,83,3,2,5,11,7,16,42,25,70,52,34,80
45,Rhode Island,5,3,8,0,0,0,1,1,1,4,2,7,5,3,8
46,South Carolina,20,12,33,2,1,2,3,2,5,15,8,29,18,11,31
47,South Dakota,3,2,6,0,0,0,1,0,1,2,1,5,3,2,5
48,Tennessee,39,24,63,2,1,3,6,4,9,31,17,56,37,22,61
49,Texas,85,56,128,8,5,14,17,11,27,59,34,103,76,48,120
50,Utah,15,10,24,1,1,2,3,2,5,11,6,20,14,9,23
51,Vermont,4,2,7,0,0,0,1,0,1,3,2,6,4,2,7
52,Virginia,33,21,51,2,2,4,5,3,8,25,14,44,31,19,49
53,Washington,38,23,64,2,1,3,5,3,8,31,17,58,36,21,62
54,West Virginia,9,6,15,0,0,1,2,1,3,7,4,13,9,5,15
55,Wisconsin,24,15,41,2,1,3,4,3,7,18,10,35,23,13,39
56,Wyoming,3,2,4,0,0,0,0,0,1,2,1,4,2,1,4
